,epsilon_progress,nfe
0,0,0
1,2,100
2,86,1164
3,244,2233
4,337,3285
5,391,4342
6,423,5401
7,457,6452
8,481,7518
9,497,8575
10,518,9648
11,565,10705
12,596,11863
13,619,13000
14,640,14155
15,657,15300
16,667,16455
17,675,17609
18,689,18764
19,695,19915
20,711,21059
21,722,22206
22,728,23357
23,731,24504
24,736,25657
25,741,26803
26,748,27944
27,757,29082
28,762,30231
29,766,31386
30,772,32527
31,774,33670
32,783,34825
33,787,35971
34,795,37115
35,799,38266
36,804,39422
37,814,40563
38,815,41710
39,817,42870
40,823,44015
41,826,45162
42,833,46310
43,838,47462
44,841,48621
45,846,49762
46,848,50911
47,853,52067
48,854,53216
49,858,54361
50,859,55513
51,863,56661
52,865,57809
53,865,58964
54,867,60114
55,868,61258
56,869,62413
57,870,63566
58,873,64716
59,876,65858
60,879,67017
61,880,68172
62,881,69317
63,882,70475
64,886,71619
65,888,72772
66,889,73934
67,892,75074
68,896,76226
69,896,77375
70,898,78540
71,898,79692
72,900,80843
73,901,81990
74,901,83132
75,903,84277
76,905,85429
77,909,86585
78,912,87730
79,913,88891
80,913,90037
81,914,91182
82,918,92320
83,919,93478
84,921,94620
85,926,95780
86,927,96930
87,929,98077
88,931,99222
