,epsilon_progress,nfe
0,0,0
1,6,100
2,22,1164
3,28,2216
4,28,3274
5,31,4335
6,31,5398
7,32,6464
8,33,7522
9,33,8592
10,33,9644
11,33,10697
12,33,11759
13,33,12806
14,33,13874
15,33,14933
16,33,15979
17,34,17045
18,34,18107
19,34,19164
20,34,20226
21,34,21283
22,35,22351
23,35,23406
24,35,24470
25,35,25521
26,35,26587
27,35,27635
28,35,28685
29,35,29756
30,35,30823
31,35,31892
32,35,32946
33,35,34015
34,36,35074
35,36,36134
36,36,37191
37,38,38251
38,38,39311
39,38,40376
40,38,41443
41,38,42510
42,38,43580
43,38,44634
44,38,45678
45,38,46743
46,38,47810
47,38,48866
48,38,49931
49,38,50988
50,38,52042
51,38,53095
52,38,54144
53,38,55196
54,38,56255
55,38,57311
56,38,58378
57,38,59448
58,38,60511
59,38,61577
60,39,62635
61,39,63696
62,39,64745
63,39,65811
64,39,66878
65,40,67933
66,40,68996
67,40,70045
68,40,71104
69,40,72170
70,40,73226
71,40,74291
72,40,75349
73,40,76415
74,40,77486
75,40,78540
76,40,79603
77,40,80660
78,40,81730
79,40,82791
80,40,83856
81,40,84915
82,40,85982
83,40,87034
84,40,88100
85,40,89142
86,40,90194
87,40,91245
88,40,92301
89,40,93365
90,40,94431
91,40,95500
92,40,96506
93,40,97507
94,40,98507
95,40,99509
